nama_jalan;kecamatan;kelurahan;lat_centroid;lng_centroid;fungsi_jalan;panjang_m;lebar_m;competitor_cafe;competitor_fnb;competitor_laundry;competitor_gym;competitor_fashion;competitor_stationery;competitor_carwash;competitor_photostudio;competitor_barbershop;competitor_salon;competitor_bengkel;competitor_elektronik;demand_university;demand_college;demand_school;demand_office;demand_mall;demand_hospital;transit_bus_stop;transit_bus_station;transit_train_station;transit_public_transport;total_poi_asli;bobot_fungsi;traffic_score;transit_score;total_poi_imputed;total_poi;density_cafe;log_traffic;ratio_bengkel;poi_akademik;poi_komersial;poi_score_cafe;comp_ratio_cafe;poi_score_laundry;comp_ratio_laundry;poi_score_stationery;comp_ratio_stationery;poi_score_photostudio;comp_ratio_photostudio;poi_score_barbershop;comp_ratio_barbershop;poi_score_fnb;comp_ratio_fnb;poi_score_gym;comp_ratio_gym;poi_score_salon;comp_ratio_salon;poi_score_elektronik;comp_ratio_elektronik;poi_score_fashion;comp_ratio_fashion;poi_score_bengkel;comp_ratio_bengkel;poi_score_carwash;comp_ratio_carwash;total_competitor
Jl. Abimanyu;Semarang Tengah;Pendrikan Lor;-6,977413971;110,4098718;Kolektor Sekunder;240,4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;7,562265576;0;1;0,693147181;0;7,562265576;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Ade Irma Suryani Nasution;Semarang Tengah;Sekayu;-6,974783134;110,4152144;Lokal Primer;529,71;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8,218509489;0;0;0;0;8,218509489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Alun-Alun Barat;Semarang Tengah;Kauman;-6,971964479;110,4234528;Kolektor Sekunder;216,76;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,171318824;0;0;0;0;7,171318824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Alun-Alun Timur;Semarang Tengah;Kauman;-6,970721139;110,4241895;Kolektor Sekunder;168,21;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,121242676;0;0;0;0;8,121242676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Anggrek;Semarang Tengah;Pekunden;-6,988915413;110,4238141;Lokal Primer;338,87;5,5;0;0,693147181;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0,693147181;0;0;0;0;0;3;1;7,530901044;0;3;2,079441542;0;7,530901044;0;0;1,386294361;0;0;0;0;0;0;0;0;0;0;1,386294361;0;1,386294361;0;1,386294361;0;1,386294361;0;1,386294361;0;1,386294361;0;1,386294361;0;1,386294361
Jl. Arief Rahman Hakim;Semarang Tengah;Bangunharjo;-6,971958868;110,4230072;Kolektor Sekunder;155,67;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,350965653;0;0;0;0;7,350965653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Arjuna;Semarang Tengah;Pendrikan Kidul;-6,980644989;110,4086133;Kolektor Sekunder;514,79;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;8,189946667;0;1;0,693147181;0;8,189946667;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Batan Selatan;Semarang Tengah;Miroto;-6,985192666;110,415902;Kolektor Sekunder;383,98;6;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,435714119;2,772588722;22;16,8710984;2,604302307;8,435714119;0,000216978;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,939626599
Jl. Bedagan;Semarang Tengah;Sekayu;-6,981596701;110,4142814;Kolektor Sekunder;403,8;4;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;1,098612289;0;0,693147181;0;0;0;0;5;2;8,080670759;0;5;3,17805383;0;8,080670759;0;0,693147181;3,988984047;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;3,988984047;0,818767782;3,988984047;1,386294361;3,988984047;1,386294361;3,988984047;1,386294361;3,988984047;1,386294361;3,988984047;1,386294361;3,988984047;1,386294361;0,693147181
Jl. Beringin;Semarang Tengah;Sekayu;-6,97735163;110,4140067;Lokal Primer;198,76;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0,693147181;2;1;6,392386015;1,386294361;2;2,772588722;0;6,392386015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
